"","x"
"1",1
"2",3
"3",5
"4",5
"5",4
"6",5
"7",10
"8",3
"9",1
"10",3
"11",5
"12",2
"13",3
"14",6
"15",4
"16",4
"17",4
"18",10
"19",8
"20",4
"21",1
"22",4
"23",3
"24",1
"25",5
"26",1
"27",1
"28",3
"29",10
"30",10
"31",3
"32",4
"33",3
"34",4
"35",4
"36",3
"37",4
"38",5
"39",5
"40",10
"41",9
"42",3
"43",6
"44",10
"45",4
"46",4
"47",10
"48",6
"49",3
"50",3
"51",1
"52",10
"53",3
"54",2
"55",4
"56",6
"57",3
"58",9
"59",4
"60",3
"61",9
"62",4
"63",3
"64",6
"65",3
"66",4
"67",10
"68",1
"69",5
"70",7
"71",4
"72",3
"73",9
"74",3
"75",1
"76",4
"77",3
"78",1
"79",5
"80",5
"81",3
"82",3
"83",6
"84",10
"85",3
"86",4
"87",3
"88",9
"89",5
"90",3
"91",3
"92",5
"93",10
"94",3
"95",4
"96",3
"97",3
"98",4
"99",10
"100",4
"101",4
"102",3
"103",4
"104",3
"105",5
"106",4
"107",1
"108",2
"109",5
"110",4
"111",5
"112",4
"113",4
"114",4
"115",3
"116",10
"117",4
"118",3
"119",5
"120",1
"121",10
"122",3
"123",4
"124",1
"125",4
"126",2
"127",6
"128",3
"129",6
"130",4
"131",5
"132",3
"133",4
"134",5
"135",3
"136",4
"137",4
"138",3
"139",3
"140",3
"141",4
"142",4
"143",3
"144",3
"145",3
"146",10
"147",10
"148",7
"149",1
"150",3
"151",4
"152",1
"153",10
"154",4
"155",3
"156",4
"157",9
"158",4
"159",5
"160",10
"161",5
"162",4
"163",8
"164",5
"165",10
"166",3
"167",4
"168",10
"169",3
"170",3
"171",6
"172",10
"173",5
"174",1
"175",3
"176",10
"177",6
"178",5
"179",3
"180",4
"181",4
"182",10
"183",9
"184",4
"185",10
"186",3
"187",6
"188",4
"189",9
"190",4
"191",4
"192",5
"193",1
"194",4
"195",10
"196",4
"197",10
"198",3
"199",1
"200",1
"201",8
"202",10
"203",4
"204",9
"205",1
"206",9
"207",3
"208",3
"209",6
"210",10
"211",10
"212",4
"213",1
"214",3
"215",5
"216",4
"217",10
"218",9
"219",10
"220",3
"221",4
"222",9
"223",5
"224",10
"225",4
"226",1
"227",3
"228",10
"229",6
