"","x"
"1",5
"2",5
"3",4
"4",4
"5",6
"6",5
"7",4
"8",4
"9",5
"10",4
"11",5
"12",7
"13",4
"14",6
"15",7
"16",5
"17",5
"18",5
"19",5
"20",4
"21",5
"22",4
"23",5
"24",7
"25",7
"26",5
"27",5
"28",7
"29",9
"30",4
"31",4
"32",4
"33",4
"34",6
"35",4
"36",6
"37",4
"38",8
"39",9
"40",8
"41",8
"42",9
"43",8
"44",8
"45",4
"46",4
"47",8
"48",9
"49",7
"50",4
"51",7
"52",1
"53",6
"54",6
"55",6
"56",7
"57",7
"58",7
"59",2
"60",3
"61",2
"62",2
"63",2
"64",2
"65",2
"66",6
"67",3
"68",6
"69",3
"70",8
"71",6
"72",3
"73",3
"74",7
"75",3
"76",3
"77",3
"78",7
"79",3
"80",9
"81",3
"82",7
"83",3
"84",3
"85",9
"86",3
"87",3
"88",7
"89",3
"90",9
"91",3
"92",9
"93",1
"94",1
"95",2
"96",2
"97",2
"98",2
"99",8
"100",3
"101",3
"102",3
"103",2
"104",3
"105",1
"106",3
"107",1
"108",9
"109",8
"110",2
"111",2
"112",2
"113",2
"114",2
"115",2
"116",2
"117",2
"118",9
"119",1
"120",1
"121",1
"122",2
"123",2
"124",2
"125",3
"126",2
"127",3
"128",3
"129",3
"130",3
"131",2
"132",3
"133",3
"134",2
"135",2
"136",5
"137",3
"138",4
"139",2
"140",4
"141",4
"142",9
"143",1
"144",1
"145",4
"146",1
"147",1
"148",4
"149",1
"150",1
"151",1
"152",3
"153",2
"154",2
"155",2
"156",2
"157",4
"158",4
"159",4
"160",4
"161",5
"162",5
"163",5
"164",5
"165",5
"166",3
"167",3
"168",3
"169",3
"170",3
"171",5
"172",5
"173",6
"174",6
"175",5
"176",8
"177",8
"178",5
"179",8
"180",5
"181",5
"182",6
"183",5
"184",6
"185",6
"186",6
"187",5
"188",5
"189",5
"190",5
"191",5
"192",5
"193",5
"194",5
"195",5
"196",5
"197",5
"198",6
"199",5
"200",7
"201",5
"202",5
"203",7
"204",7
"205",6
"206",6
"207",4
"208",6
"209",6
"210",6
"211",6
"212",6
"213",3
"214",3
"215",6
"216",6
"217",6
"218",8
"219",8
"220",6
"221",6
"222",7
"223",3
"224",6
"225",6
"226",6
"227",7
"228",6
"229",5
"230",5
"231",7
"232",6
"233",8
"234",8
"235",7
"236",7
"237",7
"238",7
"239",7
"240",7
"241",7
"242",7
"243",6
"244",7
"245",7
"246",6
"247",7
"248",6
"249",6
"250",7
"251",7
"252",8
"253",6
"254",6
"255",8
"256",8
"257",8
"258",5
"259",5
"260",8
"261",4
"262",5
"263",4
"264",4
"265",4
"266",6
"267",9
"268",7
"269",7
"270",7
"271",7
"272",7
"273",7
"274",7
"275",8
"276",8
"277",7
"278",7
"279",7
"280",7
"281",9
"282",7
"283",7
"284",9
"285",2
"286",2
"287",2
"288",7
"289",2
"290",2
"291",2
"292",2
"293",7
"294",2
"295",2
"296",9
"297",9
"298",9
"299",2
"300",2
"301",9
"302",2
"303",2
"304",9
"305",9
"306",9
"307",2
"308",9
"309",9
"310",9
"311",9
"312",7
"313",6
"314",7
"315",7
"316",9
"317",7
"318",7
"319",7
"320",2
"321",7
"322",7
"323",9
"324",2
"325",7
"326",7
"327",9
"328",8
"329",9
"330",8
"331",9
"332",9
"333",9
"334",7
"335",8
"336",7
"337",7
"338",8
"339",8
"340",7
"341",8
"342",7
"343",6
"344",7
"345",9
"346",7
"347",7
"348",8
"349",7
"350",7
"351",7
"352",8
"353",8
"354",7
"355",7
"356",8
"357",7
"358",7
"359",7
"360",6
"361",7
"362",8
"363",7
"364",8
"365",7
"366",6
"367",6
"368",7
"369",8
"370",8
"371",8
"372",8
"373",8
"374",8
"375",6
"376",6
"377",8
"378",7
"379",7
"380",7
"381",8
"382",7
"383",7
"384",7
"385",2
"386",7
"387",7
"388",7
"389",9
"390",2
"391",2
"392",6
"393",7
"394",7
"395",7
"396",7
"397",7
"398",9
"399",9
"400",2
"401",7
"402",7
"403",7
"404",7
"405",7
"406",8
"407",8
"408",2
"409",8
"410",7
"411",2
"412",6
"413",7
"414",8
"415",7
"416",7
"417",2
"418",8
"419",7
"420",8
"421",7
"422",2
"423",7
"424",7
"425",7
"426",8
"427",2
"428",2
"429",7
"430",7
"431",2
"432",7
"433",7
"434",7
"435",7
"436",7
"437",7
"438",7
"439",7
"440",7
"441",7
"442",6
"443",2
"444",7
"445",7
"446",7
"447",8
"448",1
"449",7
"450",7
"451",8
"452",2
"453",7
"454",8
"455",7
"456",8
"457",1
"458",8
"459",7
"460",1
"461",8
"462",1
"463",1
"464",8
"465",8
"466",7
"467",7
"468",2
"469",8
"470",7
"471",1
"472",7
"473",7
"474",8
"475",8
"476",1
"477",1
"478",8
"479",7
"480",1
"481",7
"482",2
"483",8
"484",8
"485",8
"486",2
"487",7
"488",2
"489",7
"490",2
"491",8
"492",8
"493",7
"494",8
"495",8
"496",8
"497",8
"498",8
"499",7
"500",8
"501",8
"502",8
"503",8
"504",7
"505",1
"506",7
"507",7
"508",8
"509",8
"510",7
"511",7
"512",8
"513",8
"514",8
