"","x"
"1",6
"2",1
"3",1
"4",6
"5",6
"6",10
"7",6
"8",1
"9",1
"10",3
"11",1
"12",1
"13",1
"14",7
"15",2
"16",2
"17",2
"18",7
"19",2
"20",2
"21",7
"22",7
"23",2
"24",2
"25",2
"26",2
"27",2
"28",2
"29",2
"30",2
"31",7
"32",2
"33",2
"34",2
"35",2
"36",2
"37",3
"38",4
"39",2
"40",7
"41",2
"42",2
"43",2
"44",2
"45",2
"46",2
"47",2
"48",7
"49",7
"50",7
"51",7
"52",7
"53",7
"54",2
"55",2
"56",2
"57",2
"58",3
"59",2
"60",7
"61",2
"62",2
"63",2
"64",7
"65",2
"66",2
"67",2
"68",1
"69",7
"70",7
"71",2
"72",2
"73",2
"74",3
"75",1
"76",7
"77",2
"78",2
"79",2
"80",2
"81",2
"82",7
"83",2
"84",2
"85",2
"86",2
"87",2
"88",2
"89",2
"90",2
"91",2
"92",3
"93",7
"94",2
"95",2
"96",1
"97",7
"98",2
"99",2
"100",2
"101",7
"102",2
"103",7
"104",5
"105",5
"106",3
"107",9
"108",9
"109",3
"110",9
"111",10
"112",2
"113",3
"114",8
"115",8
"116",9
"117",9
"118",9
"119",9
"120",9
"121",9
"122",3
"123",8
"124",4
"125",9
"126",8
"127",8
"128",4
"129",9
"130",2
"131",4
"132",10
"133",10
"134",10
"135",9
"136",4
"137",10
"138",5
"139",10
"140",4
"141",5
"142",10
"143",4
"144",5
"145",4
"146",6
"147",3
"148",4
"149",1
"150",10
"151",10
"152",9
"153",6
"154",1
"155",1
"156",1
"157",4
"158",1
"159",6
"160",1
"161",1
"162",1
"163",1
"164",1
"165",5
"166",6
"167",1
"168",5
"169",1
"170",4
"171",5
"172",4
"173",7
"174",7
"175",2
"176",6
"177",1
"178",2
"179",6
"180",6
"181",1
"182",10
"183",9
"184",6
"185",6
"186",6
"187",6
"188",6
"189",6
"190",9
"191",7
"192",7
"193",7
"194",7
"195",7
"196",7
"197",7
"198",7
"199",7
"200",2
"201",10
"202",7
"203",7
"204",5
"205",7
"206",7
"207",2
"208",2
"209",6
"210",6
"211",10
"212",2
"213",10
"214",2
"215",2
"216",7
"217",2
"218",4
"219",5
"220",5
"221",4
"222",7
"223",4
"224",2
"225",4
"226",4
"227",8
"228",2
"229",4
"230",8
"231",2
"232",2
"233",4
"234",8
"235",7
"236",4
"237",8
"238",8
"239",4
"240",4
"241",6
"242",9
"243",8
"244",1
"245",1
"246",5
"247",9
"248",9
"249",9
"250",9
"251",8
"252",5
"253",5
"254",7
"255",6
"256",3
"257",8
"258",8
"259",7
"260",5
"261",5
"262",8
"263",8
"264",8
"265",8
"266",8
"267",8
"268",5
"269",8
"270",8
"271",8
"272",6
"273",5
"274",5
"275",5
"276",3
"277",8
"278",3
"279",7
"280",5
"281",5
"282",8
"283",5
"284",5
"285",5
"286",9
"287",9
"288",9
"289",8
"290",5
"291",5
"292",9
"293",9
"294",8
"295",8
"296",1
"297",5
"298",5
"299",9
"300",9
"301",3
"302",8
"303",5
"304",5
"305",5
"306",5
"307",3
"308",5
"309",5
"310",9
"311",3
"312",3
"313",3
"314",3
"315",8
"316",5
"317",5
"318",5
"319",5
"320",5
"321",5
"322",9
"323",9
"324",9
"325",9
"326",5
"327",5
"328",9
"329",7
"330",5
"331",5
"332",8
"333",5
"334",9
"335",9
"336",8
"337",8
"338",8
"339",7
"340",5
"341",5
"342",5
"343",9
"344",9
"345",3
"346",8
"347",5
"348",3
"349",5
"350",5
"351",5
"352",9
"353",6
"354",5
"355",5
"356",5
"357",9
"358",9
"359",8
"360",5
"361",5
"362",5
"363",5
"364",5
"365",3
"366",7
"367",5
"368",5
"369",8
"370",5
"371",5
"372",5
"373",9
"374",1
"375",9
"376",3
"377",10
"378",4
"379",4
"380",9
"381",9
"382",10
"383",4
"384",9
"385",9
"386",4
"387",4
"388",6
"389",4
"390",9
"391",9
"392",2
"393",4
"394",4
"395",4
"396",4
"397",8
"398",10
"399",4
"400",4
"401",4
"402",8
"403",8
"404",8
"405",6
"406",4
"407",4
"408",4
"409",10
"410",4
"411",4
"412",4
"413",4
"414",4
"415",8
"416",4
"417",4
"418",10
"419",4
"420",4
"421",10
"422",10
"423",10
"424",3
"425",2
"426",8
"427",8
"428",8
"429",4
"430",9
"431",8
"432",6
"433",10
"434",10
"435",4
"436",4
"437",4
"438",4
"439",7
"440",4
"441",2
"442",7
"443",3
"444",3
"445",9
"446",8
"447",7
"448",3
"449",7
"450",3
"451",3
"452",3
"453",3
"454",3
"455",3
"456",3
"457",3
"458",3
"459",3
"460",3
"461",3
"462",3
"463",3
"464",3
"465",3
"466",3
"467",3
"468",3
"469",8
"470",3
"471",9
"472",2
"473",2
"474",3
"475",3
"476",3
"477",3
"478",3
"479",3
"480",3
"481",8
"482",9
"483",7
"484",7
"485",3
"486",3
"487",3
"488",3
"489",3
"490",8
"491",7
"492",3
"493",3
"494",3
"495",3
"496",3
"497",3
"498",3
"499",3
"500",7
"501",3
"502",3
"503",3
"504",3
"505",7
"506",3
"507",3
"508",3
"509",3
"510",7
"511",7
"512",10
"513",7
"514",7
"515",3
"516",3
"517",3
"518",7
"519",7
"520",3
"521",3
"522",3
"523",8
"524",7
"525",7
"526",7
"527",3
"528",9
"529",9
"530",7
"531",3
"532",8
"533",8
"534",7
"535",7
"536",7
"537",7
"538",3
"539",8
"540",1
"541",7
"542",7
"543",3
"544",7
"545",7
"546",2
"547",3
"548",9
"549",3
"550",4
"551",2
"552",2
"553",7
"554",3
"555",3
"556",2
"557",2
"558",2
"559",2
"560",7
"561",3
"562",9
"563",4
"564",4
"565",4
"566",2
"567",2
"568",2
"569",7
"570",7
"571",3
"572",3
"573",9
"574",2
"575",5
"576",2
"577",2
"578",1
"579",10
"580",10
"581",10
"582",5
"583",5
"584",8
"585",10
"586",10
"587",10
"588",5
"589",5
"590",3
"591",3
"592",10
"593",10
"594",5
"595",5
"596",3
"597",5
"598",5
"599",5
"600",3
"601",3
"602",6
"603",10
"604",5
"605",10
"606",5
"607",3
"608",8
"609",1
"610",10
"611",3
"612",5
"613",3
"614",4
"615",5
"616",5
"617",3
"618",1
"619",9
"620",4
"621",4
"622",5
"623",3
"624",4
"625",10
"626",8
"627",8
"628",4
"629",3
"630",4
"631",8
"632",8
"633",8
"634",4
"635",5
"636",10
"637",8
"638",8
"639",8
"640",8
"641",4
"642",4
"643",2
"644",1
"645",10
"646",8
"647",8
"648",8
"649",4
"650",4
"651",4
"652",2
"653",8
"654",8
"655",8
"656",8
"657",8
"658",8
"659",8
"660",8
"661",8
"662",4
"663",1
"664",10
"665",8
"666",8
"667",8
"668",4
"669",4
"670",2
"671",6
"672",6
"673",5
"674",8
"675",8
"676",8
"677",8
"678",4
"679",1
"680",8
"681",8
"682",8
"683",8
"684",8
"685",8
"686",8
"687",4
"688",4
"689",5
"690",8
"691",8
"692",8
"693",8
"694",4
"695",4
"696",4
"697",2
"698",5
"699",2
"700",2
"701",2
"702",9
"703",3
"704",2
"705",2
"706",9
"707",9
"708",9
"709",5
"710",7
"711",6
"712",2
"713",2
"714",2
"715",2
"716",9
"717",5
"718",5
"719",8
"720",2
"721",2
"722",2
"723",2
"724",2
"725",2
"726",2
"727",9
"728",3
"729",5
"730",5
"731",2
"732",2
"733",2
"734",2
"735",2
"736",2
"737",9
"738",9
"739",9
"740",9
"741",2
"742",2
"743",2
"744",2
"745",2
"746",9
"747",9
"748",5
"749",3
"750",1
"751",2
"752",2
"753",2
"754",9
"755",1
"756",1
"757",5
"758",2
"759",2
