"","x"
"1",1
"2",8
"3",1
"4",8
"5",2
"6",5
"7",9
"8",3
"9",9
"10",3
"11",1
"12",5
"13",5
"14",9
"15",2
"16",6
"17",6
"18",10
"19",6
"20",10
"21",10
"22",10
"23",2
"24",6
"25",6
"26",6
"27",6
"28",2
"29",6
"30",10
"31",6
"32",6
"33",6
"34",6
"35",6
"36",6
"37",2
"38",4
"39",6
"40",6
"41",2
"42",2
"43",2
"44",6
"45",4
"46",2
"47",6
"48",2
"49",6
"50",6
"51",6
"52",6
"53",10
"54",6
"55",6
"56",6
"57",6
"58",6
"59",2
"60",6
"61",6
"62",6
"63",10
"64",4
"65",6
"66",2
"67",2
"68",2
"69",6
"70",4
"71",2
"72",2
"73",6
"74",4
"75",4
"76",4
"77",4
"78",2
"79",2
"80",2
"81",2
"82",2
"83",6
"84",6
"85",6
"86",6
"87",6
"88",6
"89",2
"90",6
"91",6
"92",6
"93",2
"94",2
"95",7
"96",7
"97",7
"98",3
"99",3
"100",7
"101",7
"102",7
"103",5
"104",3
"105",3
"106",3
"107",5
"108",3
"109",7
"110",7
"111",7
"112",7
"113",3
"114",7
"115",7
"116",7
"117",7
"118",7
"119",7
"120",7
"121",7
"122",7
"123",7
"124",7
"125",7
"126",1
"127",3
"128",3
"129",3
"130",3
"131",7
"132",7
"133",7
"134",7
"135",7
"136",3
"137",3
"138",7
"139",7
"140",7
"141",7
"142",7
"143",7
"144",7
"145",7
"146",10
"147",10
"148",3
"149",3
"150",3
"151",3
"152",3
"153",7
"154",7
"155",7
"156",7
"157",7
"158",7
"159",5
"160",7
"161",3
"162",3
"163",3
"164",3
"165",3
"166",3
"167",3
"168",7
"169",7
"170",7
"171",7
"172",1
"173",5
"174",5
"175",5
"176",10
"177",3
"178",3
"179",3
"180",3
"181",3
"182",3
"183",3
"184",7
"185",7
"186",7
"187",7
"188",5
"189",7
"190",7
"191",3
"192",3
"193",3
"194",7
"195",7
"196",7
"197",7
"198",7
"199",1
"200",5
"201",3
"202",3
"203",3
"204",3
"205",7
"206",7
"207",7
"208",7
"209",10
"210",3
"211",3
"212",7
"213",7
"214",7
"215",7
"216",7
"217",7
"218",1
"219",7
"220",7
"221",3
"222",3
"223",3
"224",3
"225",3
"226",7
"227",7
"228",7
"229",5
"230",5
"231",5
"232",5
"233",7
"234",7
"235",3
"236",3
"237",3
"238",7
"239",1
"240",1
"241",5
"242",5
"243",3
"244",3
"245",3
"246",3
"247",3
"248",3
"249",3
"250",7
"251",5
"252",5
"253",5
"254",10
"255",7
"256",7
"257",3
"258",3
"259",7
"260",1
"261",5
"262",5
"263",5
"264",5
"265",7
"266",7
"267",3
"268",3
"269",3
"270",3
"271",7
"272",5
"273",7
"274",7
"275",3
"276",7
"277",5
"278",5
"279",7
"280",7
"281",7
"282",7
"283",7
"284",7
"285",7
"286",7
"287",7
"288",7
"289",1
"290",5
"291",7
"292",7
"293",7
"294",3
"295",7
"296",7
"297",7
"298",7
"299",7
"300",7
"301",7
"302",7
"303",7
"304",7
"305",3
"306",7
"307",1
"308",1
"309",1
