"","x"
"1",5
"2",2
"3",4
"4",5
"5",4
"6",2
"7",5
"8",4
"9",4
"10",5
"11",2
"12",4
"13",2
"14",2
"15",8
"16",2
"17",4
"18",2
"19",4
"20",6
"21",5
"22",4
"23",5
"24",8
"25",6
"26",4
"27",8
"28",4
"29",4
"30",2
"31",2
"32",2
"33",2
"34",5
"35",4
"36",5
"37",4
"38",5
"39",5
"40",5
"41",2
"42",5
"43",5
"44",2
"45",3
"46",5
"47",4
"48",2
"49",2
"50",5
"51",8
"52",2
"53",4
"54",2
"55",5
"56",4
"57",4
"58",2
"59",5
"60",4
"61",3
"62",5
"63",8
"64",6
"65",2
"66",2
"67",4
"68",2
"69",1
"70",5
"71",2
"72",5
"73",5
"74",4
"75",8
"76",5
"77",5
"78",2
"79",8
"80",8
"81",4
"82",5
"83",4
"84",2
"85",2
"86",4
"87",7
"88",5
"89",4
"90",5
"91",2
"92",4
"93",8
"94",4
"95",8
"96",4
"97",5
"98",4
"99",2
"100",7
"101",4
"102",5
"103",4
"104",3
"105",5
"106",5
"107",5
"108",8
"109",5
"110",2
"111",4
"112",2
"113",2
"114",2
"115",8
"116",8
"117",3
"118",2
"119",2
"120",2
"121",8
"122",8
"123",5
"124",3
"125",6
"126",4
"127",6
"128",4
"129",5
"130",8
"131",5
"132",2
"133",4
"134",4
"135",5
"136",2
"137",5
"138",5
"139",2
"140",4
"141",5
"142",2
"143",2
"144",4
"145",8
"146",1
"147",6
"148",4
"149",2
"150",3
"151",2
"152",5
"153",2
"154",4
"155",2
"156",9
"157",5
"158",8
"159",9
"160",3
"161",5
"162",8
"163",6
"164",2
"165",2
"166",2
"167",2
"168",8
"169",4
"170",4
"171",5
"172",2
"173",8
"174",3
"175",2
"176",4
"177",2
"178",4
"179",1
"180",1
"181",4
"182",8
"183",4
"184",5
"185",4
"186",6
"187",2
"188",5
"189",2
"190",4
"191",9
"192",5
"193",6
"194",8
"195",5
"196",7
"197",9
"198",5
"199",4
"200",5
"201",2
"202",4
"203",5
"204",4
"205",5
"206",2
"207",4
"208",4
"209",2
"210",2
"211",6
"212",5
"213",8
"214",2
"215",4
"216",2
"217",5
"218",4
"219",1
"220",5
"221",2
"222",5
"223",5
"224",5
"225",4
"226",4
"227",3
"228",2
"229",4
"230",8
"231",2
"232",2
"233",3
"234",4
"235",5
"236",4
"237",2
"238",5
"239",5
"240",2
"241",5
"242",5
"243",2
"244",6
"245",2
"246",3
"247",2
"248",5
"249",4
"250",4
"251",8
"252",1
"253",2
"254",5
"255",2
"256",4
"257",8
"258",4
"259",4
"260",3
"261",8
"262",4
"263",8
"264",3
"265",2
"266",5
"267",5
"268",4
"269",5
"270",5
"271",5
"272",5
"273",3
"274",5
"275",5
"276",5
"277",5
"278",3
"279",8
"280",5
"281",4
"282",4
"283",4
"284",2
"285",9
"286",4
"287",4
"288",8
"289",4
"290",3
"291",5
"292",2
"293",2
"294",4
"295",6
"296",4
"297",4
"298",5
"299",5
"300",5
"301",5
"302",2
"303",5
"304",4
"305",6
"306",2
"307",5
"308",4
"309",8
"310",1
"311",4
"312",4
"313",3
"314",2
"315",2
"316",5
"317",3
"318",4
"319",4
"320",5
"321",5
"322",5
"323",2
"324",3
"325",4
"326",6
"327",5
"328",5
"329",4
"330",1
"331",5
"332",8
"333",5
"334",3
"335",3
"336",4
"337",5
"338",2
"339",5
"340",2
