ecoregion,year,Latitude,Longitude,PTP,water,wetland,shrub,dshrub,dec,mixed,spruce,baresnow,GCSP
AP,2008,56.68013421,-157.7511938,132000201,0.345047923,0.031948882,0.300319489,0.099041534,0,0,0,0,0
AP,2008,56.7832602,-158.1603907,134370101,0,0,0.121405751,0.837060703,0,0,0,0.041533546,0
AP,2008,56.78103087,-158.1474478,134370102,0,0,0.098412698,0.901587302,0,0,0,0,0
AP,2008,56.77671578,-158.149753,134370103,0,0,0,1,0,0,0,0,0
AP,2008,56.77213532,-158.14881,134370104,0,0,0,1,0,0,0,0,0
AP,2008,56.76924809,-158.1552593,134370105,0,0,0.012861736,0.977491961,0,0,0,0.009646302,0
AP,2008,56.76571461,-158.1604662,134370106,0,0,0.022082019,0.977917981,0,0,0,0,0
AP,2008,56.76218206,-158.1656379,134370107,0,0,0.086261981,0.913738019,0,0,0,0,0
AP,2008,56.75770445,-158.1670001,134370108,0,0,0.174603175,0.825396825,0,0,0,0,0
AP,2008,56.75361165,-158.1636454,134370109,0,0,0.297124601,0.702875399,0,0,0,0,0
AP,2008,56.72955123,-158.145144,134370302,0,0.51572327,0.15408805,0.314465409,0,0,0,0,0
AP,2008,56.72659493,-158.1387832,134370303,0.018867925,0.72327044,0,0.185534591,0,0,0,0,0
AP,2008,56.7405772,-158.1791694,134370401,0,0,0.063492063,0.936507937,0,0,0,0,0
AP,2008,56.74223791,-158.1713552,134370402,0,0,0.131410256,0.868589744,0,0,0,0,0
AP,2008,56.7451761,-158.1649146,134370403,0,0,0.150159744,0.849840256,0,0,0,0,0
AP,2008,56.8458187,-158.1922564,136760101,0,0,0,0.865384615,0,0,0,0.134615385,0
AP,2008,56.84488638,-158.2002637,136760102,0,0,0,0.939873418,0,0,0,0.060126582,0
AP,2008,56.84332928,-158.2071202,136760103,0,0,0,0.835443038,0,0,0,0.164556962,0
AP,2008,56.83946924,-158.2114509,136760104,0,0,0,0.977777778,0,0,0,0.022222222,0
AP,2008,56.8354901,-158.2151514,136760105,0,0,0,0.840255591,0,0,0,0.159744409,0
AP,2008,56.84685118,-157.9413912,136770101,0,0,0.056603774,0.937106918,0,0,0,0.006289308,0
AP,2008,56.84685269,-157.9496407,136770102,0,0,0.151898734,0.806962025,0,0,0,0.041139241,0
AP,2008,56.84893208,-157.9570435,136770103,0,0,0.171428571,0.828571429,0,0,0,0,0
AP,2008,56.85142192,-157.9639554,136770104,0,0,0.132492114,0.867507886,0,0,0,0,0
AP,2008,56.85386139,-157.9718642,136770105,0,0,0.196825397,0.803174603,0,0,0,0,0
AP,2008,56.85611688,-157.9790502,136770106,0,0,0.485714286,0.514285714,0,0,0,0,0
AP,2008,56.85872331,-157.9858471,136770107,0,0,0.416666667,0.474358974,0,0,0,0.108974359,0
AP,2008,56.86312934,-157.9878459,136770108,0,0,0.022435897,0.830128205,0,0,0,0.147435897,0
AP,2008,56.8662806,-157.9936408,136770109,0,0,0,0.91025641,0,0,0,0.08974359,0
AP,2008,56.86721552,-158.001724,136770110,0,0,0.034810127,0.920886076,0,0,0,0.044303797,0
AP,2008,56.86738811,-158.010139,136770111,0,0,0.018927445,0.968454259,0,0,0,0.012618297,0
AP,2008,56.86688427,-158.018455,136770112,0,0,0,0.721518987,0,0,0,0.278481013,0
AP,2008,56.85842726,-157.999283,136770203,0,0,0.851265823,0.123417722,0,0,0,0.025316456,0
AP,2008,56.84028623,-157.9621926,136770209,0,0,0.863057325,0.136942675,0,0,0,0,0
AP,2008,56.96034735,-157.6837013,139180101,0,0,0.309677419,0.690322581,0,0,0,0,0
AP,2008,56.96828954,-157.6914849,139180103,0,0,0.357827476,0.638977636,0,0,0,0.003194888,0
AP,2008,56.9807147,-157.7251668,139180108,0,0,1,0,0,0,0,0,0
AP,2008,56.99633497,-157.6899276,139180401,0,0,0.810725552,0.132492114,0,0,0,0.056782334,0
AP,2008,56.9994755,-157.680454,139180402,0,0,0.244444444,0.523809524,0,0,0,0.231746032,0
AP,2008,57.004,-157.676,139180403,0,0,0.717948718,0.275641026,0,0,0,0.006410256,0
AP,2008,56.97290001,-157.5496863,139190101,0,0,0.006430868,0.971061093,0,0,0,0.022508039,0
AP,2008,56.97709054,-157.5530732,139190102,0,0,0.112903226,0.887096774,0,0,0,0,0
AP,2008,56.98078721,-157.5578061,139190103,0,0,0.164556962,0.810126582,0,0,0,0.025316456,0
AP,2008,56.98404157,-157.5644811,139190104,0,0,0.038338658,0.958466454,0,0,0,0.003194888,0
AP,2008,56.98633377,-157.57184,139190105,0,0,0.057142857,0.917460317,0,0,0,0.025396825,0
AP,2008,56.99050653,-157.5758941,139190106,0,0,0.022364217,0.948881789,0,0,0,0.028753994,0
AP,2008,56.99384085,-157.581911,139190107,0,0,0.047169811,0.952830189,0,0,0,0,0
AP,2008,56.99576567,-157.5894634,139190108,0,0,0.015873016,0.93015873,0,0,0,0.053968254,0
AP,2008,56.99889128,-157.5952509,139190109,0,0,0.022151899,0.658227848,0,0,0,0.316455696,0
AP,2008,56.99211736,-157.5944772,139190201,0,0,0.034810127,0.965189873,0,0,0,0,0
AP,2008,56.9876115,-157.5922487,139190202,0,0,0.155555556,0.844444444,0,0,0,0,0
AP,2008,56.97771063,-157.6120822,139190301,0,0,0.927444795,0.072555205,0,0,0,0,0
