ecoregion,year,Latitude,Longitude,PTP,water,wetland,shrub,dshrub,dec,mixed,spruce,baresnow,GCSP
AP,2005,58.75742949,-154.7185866,175250107,0,0,0,0.946540881,0,0,0,0.05345912,0
LH,2004,60.63280446,-154.1821572,223120207,0.015974441,0,0.220447284,0.763578275,0,0,0,0,0
AP,2006,58.24694484,-154.4818339,160910102,0,0,0,0,0,0,0,1,0
AR,2004,60.39612701,-152.6502971,213640202,0,0,0.958199357,0.009646302,0,0,0,0.032154341,0
LH,2004,60.27328813,-153.9127324,213570203,0,0,0.006329114,0,0.186708861,0.341772152,0.465189873,0,0
AP,2005,58.56409678,-154.5611174,170470103,0,0,0.376205788,0.620578778,0,0,0,0.003215434,0
AP,2005,59.12708525,-154.8346493,184810104,0,0,0.701257862,0.229559748,0,0,0,0.06918239,0
AR,2004,60.97014329,-154.4863751,232670204,0,0,0.107255521,0,0,0.170347003,0.722397476,0,0
AR,2004,61.04707232,-153.2792309,232740203,0.045016077,0.028938907,0.411575563,0,0.025723473,0.032154341,0.45659164,0,0
AP,2005,58.52039044,-156.1299561,172770119,0,0,0.733118971,0.263665595,0.003215434,0,0,0,0
AP,2006,58.21717869,-154.5554242,160910302,0,0,0,0,0,0,0,1,0
AR,2004,61.48192369,-153.0587187,242320104,0,0,0,0.275641026,0,0,0,0.724358974,0
AP,2005,58.42107654,-155.9392334,170390401,0,0,0.667721519,0.015822785,0.316455696,0,0,0,0
LH,2004,60.1720924,-154.3565474,211150103,0,0,0.003164557,0,0,0.268987342,0.727848101,0,0
LH,2004,60.28241954,-153.9439184,213570108,0,0,0,0,0.080128205,0.108974359,0.807692308,0.003205128,0
LH,2004,60.81694004,-153.922537,227920401,0,0,0,0.242811502,0,0,0,0.757188498,0
AP,2006,58.15938271,-154.795109,160890102,0,0,0,0,0,0,0,1,0
AP,2005,58.70139621,-155.5548676,177590207,0.009615385,0.057692308,0.022435897,0,0.384615385,0.240384615,0.28525641,0,0
AR,2006,60.03038325,-152.9082634,204060101,0,0,0.006410256,0.153846154,0,0,0,0.83974359,0
