"Unique_Checklist_ID","Latitude","Longitude","Count","Occur","Common_Name","summer_nbr_TCA_mean_600","summer_nbr_TCB_mean_600","summer_nbr_TCG_mean_600","summer_nbr_TCW_mean_600"
"42.0134_-124.04223_2017-06-03_JRCurtis",42.0134,-124.04223,2,1,"Hermit Warbler",0.683853001,0.208676388,0.170603686,-0.032079101
"42.01348_-124.03847_2017-06-03_JRCurtis",42.01348,-124.03847,3,1,"Hermit Warbler",0.684124623,0.205692266,0.168152638,-0.030673276
"42.01448_-124.04545_2017-06-03_JRCurtis",42.01448,-124.04545,3,1,"Hermit Warbler",0.682108184,0.208156919,0.169387217,-0.032913924
"42.01604_-124.04883_2017-06-03_JRCurtis",42.01604,-124.04883,4,1,"Hermit Warbler",0.683573783,0.208122806,0.169582061,-0.032616883
"42.01855_-124.05017_2017-06-03_JRCurtis",42.01855,-124.05017,3,1,"Hermit Warbler",0.688331444,0.211225613,0.173850738,-0.03261239
"42.0201_-124.22251_2017-06-03_JRCurtis",42.0201,-124.22251,0,0,"Hermit Warbler",0.469550455,0.312175581,0.157912697,-0.119614261
"42.02029_-124.23339_2017-06-03_JRCurtis",42.02029,-124.23339,0,0,"Hermit Warbler",0.179472458,0.294341322,0.079634086,-0.12229831
"42.02147_-124.04939_2017-06-03_JRCurtis",42.02147,-124.04939,3,1,"Hermit Warbler",0.688277394,0.20661633,0.170088712,-0.032357419
"42.02231_-123.46297_2018-06-29_JRCurtis",42.02231,-123.46297,1,1,"Hermit Warbler",0.592202895,0.179895105,0.123354524,-0.039544876
"42.02273_-124.14082_2017-06-03_JRCurtis",42.02273,-124.14082,1,1,"Hermit Warbler",0.626807645,0.24114965,0.173993067,-0.048693005
"42.02331_-124.2329_2017-06-03_JRCurtis",42.02331,-124.2329,0,0,"Hermit Warbler",0.293576374,0.328687695,0.107692049,-0.144321946
"42.0238_-123.4687_2018-06-29_JRCurtis",42.0238,-123.4687,1,1,"Hermit Warbler",0.649539772,0.192425156,0.14598737,-0.031159908
"42.02419_-123.54572_2018-06-29_JRCurtis",42.02419,-123.54572,3,1,"Hermit Warbler",0.689105288,0.218655171,0.180292104,-0.025705047
"42.02473_-123.47337_2018-06-29_JRCurtis",42.02473,-123.47337,3,1,"Hermit Warbler",0.663340817,0.190827959,0.149381939,-0.027135911
"42.02473_-123.77134_2018-06-29_WDRobinson",42.02473,-123.77134,0,0,"Hermit Warbler",0.392041046,0.255001451,0.104575546,-0.088653329
"42.02556_-124.14724_2017-06-03_JRCurtis",42.02556,-124.14724,1,1,"Hermit Warbler",0.627067354,0.245538363,0.177324284,-0.051480219
"42.02718_-124.23121_2017-06-03_JRCurtis",42.02718,-124.23121,0,0,"Hermit Warbler",0.447525322,0.324082974,0.15872643,-0.118424814
"42.0272_-124.14931_2017-06-03_JRCurtis",42.0272,-124.14931,0,0,"Hermit Warbler",0.621937444,0.258697204,0.185466297,-0.055944945
"42.02858_-124.1516_2017-06-03_JRCurtis",42.02858,-124.1516,0,0,"Hermit Warbler",0.619896105,0.27678792,0.19896374,-0.060236397
"42.02914_-124.23379_2017-06-03_JRCurtis",42.02914,-124.23379,0,0,"Hermit Warbler",0.419476794,0.320774223,0.145889499,-0.128627608
