Longitude,Latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,set
-122.59,37.99,0.68627451,0.530347608,0.484392419,0.39524207,0.505205144,0.404850252,3.02,1
-122.59,38.01,0.666666667,0.960226654,0.727424749,0.718906511,0.769136558,0.626435639,4.143,1
-122.59,38.04,0.470588235,0.371581127,0.252508361,0.25730384,0.247397428,0.86852858,3.973,1
-122.58,37.98,1,0.264302059,0.239966555,0.209724541,0.254745867,0.477747593,3.0425,1
-122.58,38.12,0.235294118,0.547564564,0.484392419,0.397954925,0.470300061,0.489078099,3.095,1
-122.57,37.96,1,0.376593658,0.259754738,0.301335559,0.28720147,0.958951763,5.00001,1
-122.57,37.97,0.901960784,0.589953144,0.620401338,0.453255426,0.627679118,0.331919781,3.821,1
-122.57,37.98,0.941176471,0.311430751,0.30657748,0.244782972,0.318432333,0.455550402,3.55,1
-122.57,37.99,0.794117647,0.435163997,0.394927536,0.3528798,0.435701164,0.449393719,3.285,1
-122.57,38.03,0.450980392,0.253677672,0.178372352,0.189065109,0.194733619,0.665407722,3.877,1
-122.57,38.11,0.529411765,0.347608151,0.411928651,0.342132721,0.428965095,0.313013517,2.2195,1
-122.56,37.9,0.68627451,0.128037485,0.106094389,0.087854758,0.113084303,0.700080249,4.094666667,1
-122.56,37.91,1,0.214667103,0.18115942,0.156510851,0.210042866,0.739078099,5.00001,1
-122.56,37.92,0.705882353,0.209654571,0.160535117,0.149415693,0.181261482,0.930393586,5.00001,1
-122.56,37.97,1,0.19952054,0.179487179,0.152337229,0.186160441,0.463214507,3.989,1
-122.56,37.98,0.68627451,0.288438488,0.301003344,0.230801336,0.339865279,0.475494743,3.457,1
-122.56,38.01,0.392156863,0.233409611,0.221850613,0.174248748,0.242498469,0.452789557,2.395,1
-122.56,38.03,0.647058824,0.205404816,0.160535117,0.16903172,0.172075934,0.665363548,3.248,1
-122.55,37.9,0.647058824,0.155715375,0.123745819,0.103923205,0.133496632,0.823913332,4.534,1
-122.55,37.91,0.921568627,0.139588101,0.153846154,0.117278798,0.154929577,0.306950702,4.6,1
-122.55,37.92,1,0.250735534,0.193979933,0.178213689,0.218616044,0.61937892,5.00001,1
-122.55,37.97,1,0.242998801,0.161092531,0.151502504,0.153704838,0.730585741,5.00001,1
-122.55,37.98,0.588235294,0.414623515,0.460423634,0.328881469,0.485609308,0.308452602,3.375,1
-122.55,37.99,0.647058824,0.360030511,0.308249721,0.290692821,0.357011635,0.485842389,3.199,1
-122.55,38,0.333333333,0.339653482,0.446488294,0.290066778,0.440906307,0.378412404,3.011,1
-122.55,38.01,0.509803922,0.431949439,0.320512821,0.344741235,0.372933252,0.643994611,3.422,1
-122.55,38.02,0.509803922,0.542987905,0.395206243,0.401293823,0.453153705,0.662370792,3.615,1
-122.55,38.03,0.549019608,0.781519015,0.650501672,0.638146912,0.71647275,0.617357982,2.932,1
-122.55,38.07,0.401960784,0.266045549,0.261984392,0.254486644,0.278628291,0.484842963,3.479,1
-122.55,38.1,0.490196078,0.565108423,0.496098105,0.487479132,0.553582364,0.497283329,2.556,1
-122.54,37.88,0.568627451,0.477280157,0.406911929,0.369365609,0.454990814,0.693634597,4.144,1
-122.54,37.89,0.62745098,0.541462352,0.464882943,0.396911519,0.485609308,0.621477162,4.244,1
-122.54,37.9,0.852941176,0.308216193,0.300445931,0.210559265,0.299755052,0.398610743,3.796,1
-122.54,37.91,0.921568627,0.318404707,0.271460424,0.24081803,0.308022045,0.566558442,4.89,1
-122.54,37.93,0.823529412,0.326468345,0.260869565,0.201377295,0.262094305,0.556431664,4.318,1
-122.54,37.94,0.617647059,0.417129781,0.438963211,0.319177796,0.482547459,0.474406971,4.2035,1
-122.54,37.95,0.725490196,0.251498311,0.221850613,0.201585977,0.235150031,0.573935418,4.357,1
-122.54,37.96,0.62745098,0.275907159,0.274804905,0.206803005,0.273729333,0.420576023,5.00001,1
-122.54,37.97,0.745098039,0.456685191,0.423634337,0.381469115,0.450091855,0.56612775,3.521,1
-122.54,37.98,1,0.191347935,0.175027871,0.125626043,0.160440906,0.553096563,3.719,1
-122.54,37.99,0.607843137,0.243434674,0.192865106,0.169657763,0.200857318,0.756714374,4.44,1
-122.54,38,0.529411765,0.372016999,0.459308807,0.352462437,0.488671157,0.295973584,2.77,1
-122.54,38.14,0.294117647,0.482619592,0.335005574,0.345158598,0.384568279,0.777597403,3.921,1
-122.53,37.86,0.725490196,0.128691293,0.108138239,0.130008347,0.124311084,0.358920841,4.786,1
-122.53,37.87,0.37254902,0.197450147,0.156075808,0.136268781,0.153704838,0.828010425,4,1
-122.53,37.88,0.578431373,0.414351095,0.37541806,0.309578464,0.391610533,0.570539579,3.6085,1
-122.53,37.89,0.666666667,0.449493298,0.382943144,0.332011686,0.431720759,0.597159643,4.004,1
-122.53,37.9,0.843137255,0.309905198,0.306020067,0.256051753,0.327617881,0.373707925,3.272,1
-122.53,37.91,0.705882353,0.274817478,0.220735786,0.207429048,0.254133497,0.827071738,5.00001,1
-122.53,37.92,0.833333333,0.177999346,0.173076923,0.13783389,0.192896509,0.464545234,4.0065,1
-122.53,37.93,0.754901961,0.211888417,0.197881828,0.159119366,0.208205756,0.537685529,3.5175,1
-122.53,37.94,0.333333333,0.095456031,0.141025641,0.07909015,0.150030618,0.467631858,2,1
-122.53,37.96,0.676470588,0.288166067,0.225752508,0.203672788,0.250765462,0.628666402,3.8065,1
-122.53,37.97,0.887254902,0.182303585,0.255992196,0.175292154,0.270514391,0.23692464,2.56775,1
-122.53,37.98,0.607843137,0.260215757,0.186176143,0.167988314,0.215554195,0.891863239,5.00001,1
