Longitude,Latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-124.35,40.54,1,0.198103956,0.166109253,0.167153589,0.164115126,0.27771888,0.946
-124.3,41.8,0.352941176,0.290944753,0.30657748,0.269824708,0.291488059,0.163419913,0.858
-124.3,41.84,0.31372549,0.291489594,0.294871795,0.258555927,0.278015922,0.279552081,1.036
-124.27,40.69,0.68627451,0.255748066,0.293199554,0.24812187,0.28352725,0.222855376,0.79
-124.26,40.58,1,0.24136428,0.218506132,0.188230384,0.224739743,0.205097623,1.114
-124.25,40.28,0.607843137,0.155606407,0.232441472,0.089524207,0.113288426,0.15922343,0.761
-124.23,40.54,1,0.293342051,0.251393534,0.239357262,0.265156154,0.284996466,1.067
-124.23,40.81,1,0.12095456,0.115384615,0.112479132,0.104102878,0.314327679,0.508
-124.23,41.75,0.196078431,0.344012204,0.342251951,0.279215359,0.292100429,0.218725152,0.732
-124.22,41.73,0.529411765,0.327013185,0.38851728,0.318238731,0.398652786,0.132951232,0.783
-124.21,40.75,0.607843137,0.132505176,0.183389075,0.128338898,0.162890386,0.127319109,0.581
-124.21,41.75,0.37254902,0.41495042,0.437569677,0.414858097,0.440293938,0.166478929,0.669
-124.21,41.77,0.31372549,0.376920562,0.401337793,0.405258765,0.394978567,0.229658097,0.684
-124.19,40.73,0.392156863,0.620246268,0.587513935,0.605592654,0.593998775,0.335321141,0.901
-124.19,40.77,0.568627451,0.323962079,0.352285396,0.284223706,0.355786895,0.214473452,0.69
-124.19,40.78,0.705882353,0.149177291,0.176700111,0.132512521,0.157991427,0.14624746,0.7
-124.19,41.78,0.274509804,0.341941811,0.396878484,0.342237062,0.390691978,0.128710575,0.746
-124.18,40.62,0.666666667,0.103519669,0.098104794,0.099123539,0.108389467,0.282014754,1.07
-124.18,40.78,0.660130719,0.149467873,0.162207358,0.17097941,0.17493366,0.210715022,0.698
-124.18,40.79,0.754901961,0.175983437,0.183667781,0.173309683,0.187385181,0.122139765,0.6755
-124.17,40.62,0.607843137,0.173586139,0.171125975,0.146285476,0.168401715,0.264588303,0.864
-124.17,40.74,0.31372549,0.220551378,0.18729097,0.181135225,0.19044703,0.390471773,1.289
-124.17,40.75,0.235294118,0.236351749,0.187848384,0.197412354,0.214941825,0.480574697,1.161
-124.17,40.76,0.490196078,0.19330936,0.200111483,0.20596828,0.231475811,0.254627176,0.828
-124.17,40.77,0.568627451,0.206276561,0.202898551,0.205550918,0.218616044,0.190255323,0.813
-124.17,40.78,0.745098039,0.174784788,0.182831661,0.151502504,0.199020208,0.125563212,0.683
-124.17,40.79,0.823529412,0.248774109,0.265886288,0.242904841,0.293937538,0.162216185,0.705
-124.17,40.8,1,0.138680033,0.199368265,0.140929327,0.18860992,0.106575964,0.66
-124.17,41.76,0.37254902,0.291053721,0.29877369,0.26648581,0.313533374,0.216516477,1.059
-124.17,41.8,0.294117647,0.298245614,0.266443701,0.261686144,0.265768524,0.359550314,1.094
-124.16,40.6,0.745098039,0.143837856,0.156633222,0.132929883,0.177587263,0.215566746,0.851
-124.16,40.77,0.666666667,0.233082707,0.24303233,0.21869783,0.264543784,0.259850694,0.856
-124.16,40.78,0.888888889,0.235915877,0.22092159,0.177031163,0.22269851,0.285132668,0.830666667
-124.16,40.79,0.960784314,0.23420871,0.239502044,0.191777963,0.25494999,0.171106105,0.867333333
-124.16,40.8,1,0.228106498,0.295800818,0.208333333,0.296182894,0.109727008,0.764333333
-124.16,40.95,0.37254902,0.116922742,0.118171683,0.109348915,0.118799755,0.291622493,0.96
-124.16,41.02,0.431372549,0.181976681,0.213489409,0.220158598,0.23759951,0.18472259,0.755
-124.16,41.74,0.274509804,0.29563038,0.316053512,0.318656093,0.323331292,0.185860058,0.695
-124.16,41.92,0.352941176,0.181540809,0.179487179,0.174457429,0.172075934,0.180415673,0.75
-124.15,40.59,0.745098039,0.129018198,0.13154961,0.111435726,0.128597673,0.176020408,0.796
-124.15,40.76,0.450980392,0.311212815,0.283723523,0.28860601,0.312308634,0.317508172,1.006
-124.15,40.78,0.735294118,0.230739893,0.202898551,0.180509182,0.218309859,0.307541523,0.971
-124.15,40.79,0.705882353,0.293124115,0.27090301,0.262520868,0.296387018,0.278480873,0.864
-124.15,40.8,0.901960784,0.161708619,0.185618729,0.158597663,0.200244948,0.138605442,0.741
-124.15,40.81,0.960784314,0.036831208,0.040133779,0.047996661,0.04960196,0.138053273,0.675
-124.15,40.88,0.62745098,0.243325706,0.280936455,0.242070117,0.268830374,0.135292429,0.575
-124.15,41.81,0.31372549,0.356761469,0.348940914,0.7389399,0.357011635,0.197334128,1.031
-124.14,40.57,0.549019608,0.311866623,0.333333333,0.273163606,0.342927128,0.180614454,0.751
-124.14,40.58,0.470588235,0.206712433,0.197881828,0.184891486,0.216166565,0.242821804,0.925
-124.14,40.59,0.362745098,0.253132832,0.281772575,0.24624374,0.294549908,0.151332936,0.718
-124.14,40.6,0.509803922,0.124877411,0.113712375,0.107679466,0.132884262,0.389290132,1.281
-124.14,40.67,0.431372549,0.062983546,0.064102564,0.065734558,0.065523576,0.409212386,1.306
-124.14,40.72,0.333333333,0.281028659,0.27703456,0.285893155,0.306797306,0.258934093,1.005
-124.14,40.77,0.509803922,0.331698812,0.336120401,0.292570952,0.348438457,0.266631328,0.996
-124.14,40.78,0.666666667,0.264138607,0.234671126,0.203881469,0.263319045,0.322687517,0.928
-124.14,40.79,0.725490196,0.168900512,0.160535117,0.181135225,0.176974893,0.2197301,0.81
-124.14,40.8,0.607843137,0.149395227,0.172798216,0.180926544,0.186160441,0.220878611,0.726
-124.14,41.06,0.607843137,0.110929498,0.118729097,0.086811352,0.120024495,0.278392526,1.434
-124.14,41.95,0.392156863,0.293559987,0.321070234,0.251043406,0.301285977,0.19603101,1.224
-124.13,40.62,0.823529412,0.231993026,0.2212932,0.188856427,0.23698714,0.229757487,0.921
-124.13,40.78,0.647058824,0.233191675,0.232998885,0.219323873,0.232700551,0.177820479,0.869
-124.13,40.79,0.578431373,0.24446987,0.225195095,0.206072621,0.235456216,0.301859705,0.879
-124.13,40.8,0.588235294,0.234281356,0.256410256,0.261686144,0.255970606,0.193027211,0.811
-124.11,40.57,0.62745098,0.146671025,0.129319955,0.118530885,0.14329455,0.2197301,0.741
-124.11,40.81,0.431372549,0.104282445,0.117056856,0.087646077,0.105939988,0.226797862,0.961
-124.11,40.93,0.392156863,0.220605862,0.222686734,0.233305509,0.249234538,0.291086889,0.819
-124.11,40.95,0.352941176,0.188732701,0.202341137,0.179674457,0.208205756,0.271678152,0.817
-124.1,40.47,1,0.130107878,0.130434783,0.20033389,0.161053276,0.335122361,0.55
-124.1,40.5,0.68627451,0.234444808,0.262541806,0.238522538,0.267605634,0.165280723,0.649
