Longitude,Latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-123.69,38.9,0.31372549,0.240165631,0.265328874,0.236853088,0.260869565,0.187582825,0.953
-123.59,38.8,0.31372549,0.566633976,0.576923077,0.362479132,0.490508267,0.289358601,1.761
-123.53,38.93,0.725490196,0.185681595,0.196767001,0.104549249,0.127985303,0.227780723,1.656
-123.49,38.7,0.156862745,0.589190367,0.566889632,0.122913189,0.199020208,0.310606061,2.954
-123.39,38.99,0.529411765,0.154080854,0.162764771,0.168405676,0.156766687,0.32096475,1.094
-123.25,38.54,0.509803922,0.398387273,0.424749164,0.265651085,0.315982854,0.315144889,1.575
-123.24,38.7,0.725490196,0.158875449,0.172240803,0.11769616,0.106552358,0.244853786,1.313
-123.15,38.94,0.411764706,0.235480004,0.241917503,0.217654424,0.218003674,0.244853786,0.958
-123.1,38.79,0.37254902,0.338563801,0.395763657,0.341819699,0.389467238,0.257807669,1.644
-123.1,38.97,0.68627451,0.131742399,0.136566332,0.144407346,0.152480098,0.229282622,0.949
-123.08,38.38,0.529411765,0.359049798,0.375696767,0.191569282,0.227189222,0.377330153,2.326
-123.07,38.46,0.588235294,0.092949766,0.119843924,0.057387312,0.083894672,0.205539359,1.125
-123.04,38.49,0.568627451,0.433148088,0.517279822,0.288397329,0.355174525,0.233699973,1.325
-123.03,38.79,0.294117647,0.440775853,0.427536232,0.415901503,0.410900184,0.317508172,1.719
-123.02,38.36,0.294117647,0.1627983,0.164994426,0.161310518,0.172688304,0.37094708,2.688
-123.02,38.46,1,0.234499292,0.27703456,0.108305509,0.157379057,0.171801838,1.2
-123.02,38.54,0.666666667,0.234826196,0.270345596,0.159223706,0.195958359,0.301660924,1.369
-123.02,38.81,0.764705882,0.145417893,0.166666667,0.145450751,0.176974893,0.290866022,1.397
-123.01,38.48,0.705882353,0.128255421,0.156075808,0.072829716,0.106552358,0.096220956,1.183
-123.01,38.67,0.62745098,0.099378882,0.080824972,0.081176962,0.079608083,0.462452513,2.462
-123.01,38.79,0.607843137,0.293668955,0.293756968,0.294657763,0.326393141,0.304211945,1.341
