"Unique_Checklist_ID","Latitude","Longitude","Count","Occur","Common_Name","summer_nbr_TCA_mean_600","summer_nbr_TCB_mean_600","summer_nbr_TCG_mean_600","summer_nbr_TCW_mean_600"
"43.76826_-123.57354_2018-05-23_WDRobinson",43.76826,-123.57354,1,1,"Western Tanager",0.615874731,0.254692602,0.180930559,-0.060816555
"43.77287_-123.34416_2014-05-26_TAHallman",43.77287,-123.34416,1,1,"Western Tanager",0.683520885,0.216128299,0.175262395,-0.029942781
"43.7741_-123.32863_2014-05-26_TAHallman",43.7741,-123.32863,0,0,"Western Tanager",0.65930927,0.24487652,0.191019501,-0.040416008
"43.77422_-123.3351_2014-05-26_TAHallman",43.77422,-123.3351,0,0,"Western Tanager",0.715391404,0.244344728,0.212678266,-0.021525348
"43.77725_-123.90317_2018-05-23_WDRobinson",43.77725,-123.90317,1,1,"Western Tanager",0.602632096,0.311563881,0.208558326,-0.08719622
"43.77783_-123.55264_2018-05-23_WDRobinson",43.77783,-123.55264,0,0,"Western Tanager",0.671349456,0.235204054,0.185555107,-0.041835384
"43.77961_-123.37543_2018-05-23_WDRobinson",43.77961,-123.37543,1,1,"Western Tanager",0.714566934,0.225553321,0.196713869,-0.026784297
"43.78044_-123.55005_2018-05-23_WDRobinson",43.78044,-123.55005,0,0,"Western Tanager",0.682088072,0.233338184,0.187714339,-0.03746784
"43.78138_-123.90338_2018-05-23_WDRobinson",43.78138,-123.90338,0,0,"Western Tanager",0.604382361,0.316364812,0.214408381,-0.092020852
"43.78146_-123.388_2018-05-23_WDRobinson",43.78146,-123.388,0,0,"Western Tanager",0.700304614,0.214802449,0.181383667,-0.030470789
"43.78543_-123.5572_2018-05-23_WDRobinson",43.78543,-123.5572,0,0,"Western Tanager",0.721325173,0.250435167,0.218948692,-0.026617891
"43.78635_-123.92009_2018-05-23_WDRobinson",43.78635,-123.92009,1,1,"Western Tanager",0.654674035,0.293438933,0.22389749,-0.059232363
"43.790385_-122.969562_2019-05-26_TAHallman",43.790385,-122.969562,0,0,"Western Tanager",0.501415892,0.293124601,0.155602868,-0.09897814
"43.791295_-122.45872_2019-05-25_TAHallman",43.791295,-122.45872,1,1,"Western Tanager",0.647884665,0.189961033,0.143611171,-0.033670246
"43.79317_-122.979439_2019-05-26_TAHallman",43.79317,-122.979439,1,1,"Western Tanager",0.406968615,0.314039668,0.133456813,-0.129352952
"43.793898_-122.453297_2019-05-25_TAHallman",43.793898,-122.453297,1,1,"Western Tanager",0.635955089,0.194417694,0.141850967,-0.038292939
"43.81615_-123.63171_2018-05-23_WDRobinson",43.81615,-123.63171,0,0,"Western Tanager",0.617751186,0.240573271,0.169968907,-0.055202462
"43.81676_-123.33482_2014-06-03_JRCurtis",43.81676,-123.33482,0,0,"Western Tanager",0.696565716,0.200726302,0.168709392,-0.023302909
"43.817091_-124.073172_2018-05-25_TAHallman",43.817091,-124.073172,1,1,"Western Tanager",0.72293246,0.27795971,0.253433316,-0.021391823
"43.81851_-123.33395_2014-06-03_JRCurtis",43.81851,-123.33395,1,1,"Western Tanager",0.698411446,0.207170138,0.174923637,-0.02404164
"43.819715_-124.066557_2018-05-25_TAHallman",43.819715,-124.066557,1,1,"Western Tanager",0.713625457,0.287369266,0.256623602,-0.029653513
"43.82063_-122.377371_2019-05-25_TAHallman",43.82063,-122.377371,2,1,"Western Tanager",0.67905647,0.1948953,0.156312655,-0.027012039
"43.8224_-123.32255_2019-05-18_WDRobinson",43.8224,-123.32255,1,1,"Western Tanager",0.667845108,0.267179825,0.209672274,-0.055900276
"43.82327_-123.33443_2014-06-03_JRCurtis",43.82327,-123.33443,0,0,"Western Tanager",0.698540804,0.239570625,0.202070873,-0.031012542
"43.83587_-123.751_2018-05-23_WDRobinson",43.83587,-123.751,0,0,"Western Tanager",0.728970316,0.229713494,0.206465608,-0.019919727
"43.837019_-124.062029_2018-05-25_TAHallman",43.837019,-124.062029,0,0,"Western Tanager",0.730693703,0.287907139,0.260757989,-0.02525868
"43.83708_-124.053048_2018-05-25_TAHallman",43.83708,-124.053048,0,0,"Western Tanager",0.682705443,0.301761425,0.25051001,-0.049441141
"43.83714_-123.75296_2018-05-23_WDRobinson",43.83714,-123.75296,0,0,"Western Tanager",0.725235457,0.23339025,0.208377419,-0.022374972
"43.838572_-123.129944_2014-05-28_TAHallman",43.838572,-123.129944,1,1,"Western Tanager",0.550820266,0.277857503,0.16297236,-0.082574441
"43.83914_-122.60688_2014-06-10_TAHallman",43.83914,-122.60688,0,0,"Western Tanager",0.673422664,0.208084325,0.167359096,-0.027186202
"43.84072_-122.7084_2019-05-26_JRCurtis",43.84072,-122.7084,0,0,"Western Tanager",0.688861564,0.212382927,0.17654312,-0.02991219
"43.8425_-122.70532_2014-06-05_JRCurtis",43.8425,-122.70532,1,1,"Western Tanager",0.683323826,0.226473535,0.186294285,-0.032306053
"43.842594_-123.129792_2014-05-28_TAHallman",43.842594,-123.129792,2,1,"Western Tanager",0.627851906,0.253688635,0.180638429,-0.052220554
"43.84365_-122.60037_2014-06-10_TAHallman",43.84365,-122.60037,1,1,"Western Tanager",0.687100646,0.218046063,0.180028519,-0.027460714
"43.843901_-123.132778_2014-05-28_TAHallman",43.843901,-123.132778,0,0,"Western Tanager",0.652223995,0.245096643,0.185318368,-0.043107805
"43.84396_-122.69167_2014-06-05_JRCurtis",43.84396,-122.69167,0,0,"Western Tanager",0.681346168,0.21000001,0.171126243,-0.027589164
"43.84424_-122.70023_2014-06-05_JRCurtis",43.84424,-122.70023,0,0,"Western Tanager",0.683464743,0.224366277,0.184290212,-0.030581112
"43.84437_-122.70211_2019-05-26_JRCurtis",43.84437,-122.70211,0,0,"Western Tanager",0.694132026,0.229611471,0.193090077,-0.031249564
"43.84524_-122.59856_2014-06-10_TAHallman",43.84524,-122.59856,0,0,"Western Tanager",0.685201885,0.212031957,0.174504,-0.02657717
"43.847109_-123.137557_2014-05-28_TAHallman",43.847109,-123.137557,1,1,"Western Tanager",0.66642399,0.236281115,0.184062624,-0.037640809
"43.848884_-123.139014_2014-05-28_TAHallman",43.848884,-123.139014,0,0,"Western Tanager",0.673585897,0.236504621,0.187581043,-0.035446944
"43.851064_-123.142369_2014-05-28_TAHallman",43.851064,-123.142369,2,1,"Western Tanager",0.66542273,0.23783956,0.18547494,-0.039443189
"43.85333_-122.74564_2019-05-26_JRCurtis",43.85333,-122.74564,0,0,"Western Tanager",0.705913024,0.203389683,0.17495087,-0.020111267
"43.85658_-123.41714_2014-05-23_TAHallman",43.85658,-123.41714,0,0,"Western Tanager",0.626181861,0.284328657,0.211184759,-0.062587357
"43.85726_-123.03342_2014-06-02_JRCurtis",43.85726,-123.03342,0,0,"Western Tanager",0.365570121,0.330257491,0.124215326,-0.132114708
"43.857626_-123.925237_2018-05-25_TAHallman",43.857626,-123.925237,0,0,"Western Tanager",0.687802374,0.270122426,0.222348724,-0.049834076
"43.85896_-122.74772_2019-05-26_JRCurtis",43.85896,-122.74772,0,0,"Western Tanager",0.719387733,0.221237185,0.195067454,-0.020034914
"43.85994_-123.02916_2014-06-02_JRCurtis",43.85994,-123.02916,0,0,"Western Tanager",0.389946582,0.350037727,0.13676133,-0.14025332
"43.86067_-123.41032_2014-05-23_TAHallman",43.86067,-123.41032,0,0,"Western Tanager",0.674068144,0.254980026,0.205962733,-0.040990719
"43.86229_-123.42176_2014-05-23_TAHallman",43.86229,-123.42176,1,1,"Western Tanager",0.698909125,0.28901946,0.242697103,-0.037054372
